onset	duration	trial_type	value
1111.6	0.0	Z	1.0
1113.68	0.0	G	1.0
1415.68	0.0	H	1.0
244.64	0.0	Z	1.0
256.88	0.0	J	1.0
277.12	0.0	J	1.0
297.6	0.0	J	1.0
317.92	0.0	J	1.0
338.16	0.0	J	1.0
358.48	0.0	J	1.0
378.72	0.0	J	1.0
398.96	0.0	J	1.0
419.44	0.0	J	1.0
439.68	0.0	J	1.0
460.0	0.0	J	1.0
480.24	0.0	J	1.0
500.48	0.0	J	1.0
520.8	0.0	J	1.0
541.12	0.0	J	1.0
561.28	0.0	J	1.0
612.72	0.0	L	1.0
632.96	0.0	L	1.0
653.2	0.0	L	1.0
673.52	0.0	L	1.0
693.76	0.0	L	1.0
714.08	0.0	L	1.0
734.32	0.0	L	1.0
754.64	0.0	L	1.0
774.88	0.0	L	1.0
795.36	0.0	L	1.0
815.6	0.0	L	1.0
836.0	0.0	L	1.0
856.32	0.0	L	1.0
876.56	0.0	L	1.0
896.8	0.0	L	1.0
917.12	0.0	L	1.0
937.44	0.0	L	1.0
957.68	0.0	L	1.0
978.0	0.0	L	1.0
998.24	0.0	L	1.0
