participant_id	species	age	sex	handedness
sub-s43	n/a	n/a	n/a	n/a
sub-s04	n/a	n/a	n/a	n/a
sub-s37	n/a	n/a	n/a	n/a
sub-s11	n/a	n/a	n/a	n/a
sub-s12	n/a	n/a	n/a	n/a
sub-s20	n/a	n/a	n/a	n/a
sub-s40	n/a	n/a	n/a	n/a
sub-s63	n/a	n/a	n/a	n/a
sub-s33	n/a	n/a	n/a	n/a
sub-s03	n/a	n/a	n/a	n/a
sub-s51	n/a	n/a	n/a	n/a
sub-s47	n/a	n/a	n/a	n/a
sub-s25	n/a	n/a	n/a	n/a
sub-s24	n/a	n/a	n/a	n/a
sub-s38	n/a	n/a	n/a	n/a
sub-s32	n/a	n/a	n/a	n/a
sub-s27	n/a	n/a	n/a	n/a
sub-s15	n/a	n/a	n/a	n/a
sub-s64	n/a	n/a	n/a	n/a
sub-s52	n/a	n/a	n/a	n/a
sub-s61	n/a	n/a	n/a	n/a
sub-s58	n/a	n/a	n/a	n/a
sub-s72	n/a	n/a	n/a	n/a
sub-s44	n/a	n/a	n/a	n/a
sub-s06	n/a	n/a	n/a	n/a
sub-s41	n/a	n/a	n/a	n/a
sub-s35	n/a	n/a	n/a	n/a
sub-s16	n/a	n/a	n/a	n/a
sub-s10	n/a	n/a	n/a	n/a
sub-s55	n/a	n/a	n/a	n/a
sub-s67	n/a	n/a	n/a	n/a
sub-s18	n/a	n/a	n/a	n/a
sub-s29	n/a	n/a	n/a	n/a
sub-s76	n/a	n/a	n/a	n/a
sub-s56	n/a	n/a	n/a	n/a
sub-s45	n/a	n/a	n/a	n/a
sub-s46	n/a	n/a	n/a	n/a
sub-s65	n/a	n/a	n/a	n/a
sub-s57	n/a	n/a	n/a	n/a
sub-s08	n/a	n/a	n/a	n/a
sub-s42	n/a	n/a	n/a	n/a
sub-s13	n/a	n/a	n/a	n/a
sub-s68	n/a	n/a	n/a	n/a
sub-s71	n/a	n/a	n/a	n/a
sub-s26	n/a	n/a	n/a	n/a
sub-s05	n/a	n/a	n/a	n/a
sub-s14	n/a	n/a	n/a	n/a
sub-s74	n/a	n/a	n/a	n/a
sub-s59	n/a	n/a	n/a	n/a
sub-s19	n/a	n/a	n/a	n/a
sub-s50	n/a	n/a	n/a	n/a
sub-s17	n/a	n/a	n/a	n/a
sub-s02	n/a	n/a	n/a	n/a
sub-s23	n/a	n/a	n/a	n/a
sub-s69	n/a	n/a	n/a	n/a
sub-s21	n/a	n/a	n/a	n/a
sub-s70	n/a	n/a	n/a	n/a
sub-s75	n/a	n/a	n/a	n/a
sub-s62	n/a	n/a	n/a	n/a
sub-s66	n/a	n/a	n/a	n/a
sub-s30	n/a	n/a	n/a	n/a
sub-s36	n/a	n/a	n/a	n/a
sub-s54	n/a	n/a	n/a	n/a
sub-s48	n/a	n/a	n/a	n/a
sub-s22	n/a	n/a	n/a	n/a
sub-s28	n/a	n/a	n/a	n/a
sub-s39	n/a	n/a	n/a	n/a
sub-s73	n/a	n/a	n/a	n/a
sub-s34	n/a	n/a	n/a	n/a
sub-s49	n/a	n/a	n/a	n/a
sub-s60	n/a	n/a	n/a	n/a
sub-s31	n/a	n/a	n/a	n/a
sub-s09	n/a	n/a	n/a	n/a
sub-s77	n/a	n/a	n/a	n/a
sub-s07	n/a	n/a	n/a	n/a
