name	type	x	y	z
S01	source	-87.88983994116283	163.57431185083362	65.70300647826934
S02	source	-76.73496554511873	170.37524915069852	79.11510284877704
S03	source	-79.92830226434484	180.3925519490407	63.62237728985848
S04	source	-50.461904281238255	189.24645084797598	85.22728084967066
S05	source	-63.262721069452674	175.96704375585395	88.44671198517702
S06	source	-47.09660172095298	175.87317788973647	97.8921380956943
S07	source	-31.919574532327015	170.39974068392715	105.12165167091682
S08	source	-15.431598185853721	162.13332663208644	108.3436595420536
S09	source	-15.999055761945725	179.3078055344373	100.90836759539542
S10	source	10.979767503447466	173.67544988553647	95.24205601544733
S11	source	16.717727659056496	187.7204306896401	84.27015429035865
S12	source	0.019185992784318096	188.6393256800621	92.68933704264222
S13	source	-15.820760821307843	197.61621568762249	86.3358296203242
S14	source	-17.215520949324553	209.22565126531597	71.71242544234022
S15	source	-32.55523540173249	201.05148700757104	78.67263371551657
S16	source	-53.719287717918114	201.02540054139945	67.33264831293823
S17	source	-55.542450649453606	209.92332980223108	50.95976732655373
S18	source	-68.84046129836395	198.05699285490732	56.69747246310848
S19	source	-80.87915316823293	189.67489092398927	46.27063057934559
S20	source	-81.47192281919314	191.8961334962667	27.688838266008236
S21	source	-88.92895940054194	176.61797535130154	35.53350455093453
S22	source	-85.18140131218297	174.07402974692334	-1.2767812183233929
S23	source	-79.77003074348141	189.00048098137552	8.647251334712273
S24	source	-73.38127544381206	186.5263673757825	-8.77775562619211
S25	source	-55.38333108673493	212.17268094982524	13.603752621396922
S26	source	-70.20282271513905	204.87796295144568	22.420671425592506
S27	source	-56.74456269623583	213.42868794559615	32.23538687424415
S28	source	-37.363902024637724	216.97311696252012	46.823223037780146
S29	source	-20.537838079459746	216.89899536880856	55.03579742722268
S30	source	-21.91552278973236	219.44922938525013	36.53805185376251
S31	source	13.693689934595941	208.84635055750775	53.80266363295327
S32	source	-0.29814846339269696	210.74659093175788	66.0984289513318
S33	source	15.634920153070961	202.38026124474723	71.26661548350197
S34	source	29.259736114423823	185.64094068180958	71.9414831691878
S35	source	39.25488268242081	170.0655562519641	69.10022553447995
S36	source	39.1760587551093	183.62431481018706	56.188132243758275
D01	detector	-76.2832363730267	177.9147868113035	72.58295062922484
D02	detector	-82.82333392808164	164.09924822924253	74.29210763136068
D03	detector	-81.51770258354213	171.44737098352428	69.48016220563495
D04	detector	-85.44653744951808	172.32807791002685	61.565428356319345
D05	detector	-56.19071325897261	173.0641730128968	94.87148801070444
D06	detector	-58.95518011700528	184.04980334306947	84.46779399176921
D07	detector	-53.60707569054797	180.36222416452213	90.522043643514
D08	detector	-45.67533369566603	183.97269613760014	92.22684892806834
D09	detector	-12.242631305349931	170.78932144944676	104.5197944873111
D10	detector	-25.32072628046426	163.47168815874093	107.98084560577828
D11	detector	-21.11674282670882	170.61362428348363	104.79122626945528
D12	detector	-25.78687089431227	177.5798632422632	101.87303871527645
D13	detector	7.808832736841992	191.28828943000178	87.03053022014888
D14	detector	16.812529666970462	178.99603993366622	89.12749085645872
D15	detector	9.238893718429427	183.34506875174623	90.7338491161494
D16	detector	3.0953187514758307	179.7508768915707	96.0435262718406
D17	detector	-26.82799583238432	206.7506677016395	72.80443413373256
D18	detector	-13.081267407391648	203.92872419367066	79.09945537653476
D19	detector	-21.86383905745496	202.6311179868365	78.90696292606033
D20	detector	-25.68225393258891	197.21396206519935	84.81699926791367
D21	detector	-64.00710720360766	204.62553251175854	50.934602087065315
D22	detector	-51.58564361486031	207.06396546791487	59.67099075926589
D23	detector	-59.367399888578554	203.00190773284595	58.329962700866815
D24	detector	-62.509448847267684	197.31622521886445	64.38429525626924
D25	detector	-86.12652656143587	183.09597012910552	28.469535847645734
D26	detector	-79.51391977670838	193.8217250121275	37.28967267764484
D27	detector	-83.76001179598933	186.0629999238525	36.49765779876279
D28	detector	-85.63958904982377	181.27130463032444	43.73376487099779
D29	detector	-74.73137464409919	190.69716735773434	0.19438791144340417
D30	detector	-84.42472503365828	180.468050045591	6.35615042225508
D31	detector	-79.44423583315881	183.20029270136047	-0.4690951699344099
D32	detector	-79.17660782171897	178.43566070075605	-7.957823843501714
D33	detector	-65.20751981798223	208.5062541955433	30.26924783241058
D34	detector	-64.089320308975	207.47449266710242	14.964075569202127
D35	detector	-60.77690549936993	210.15977728228904	22.75327030707786
D36	detector	-53.033876371152566	214.4985849842214	23.02648751962087
D37	detector	-17.76834894983535	218.43149498975953	45.56483787326631
D38	detector	-30.458599422172043	216.39746369338187	54.0137111493141
D39	detector	-26.605754297943278	217.77378057219295	46.132357439588446
D40	detector	-31.59031452182244	218.49238303343748	38.81852329618493
D41	detector	6.377116544074103	206.074177705233	71.87139107841048
D42	detector	4.782470444161231	211.38582184004463	57.525425080919966
D43	detector	9.676820541424735	207.32440091133762	63.72256935592902
D44	detector	17.87087463603887	204.51320318873522	61.77089190845661
D45	detector	41.34906169934389	174.9598835484175	60.6516946231161
D46	detector	33.20318334140799	176.61646428292335	73.59246763123953
D47	detector	35.89689251731798	179.7769372479869	65.74328031580868
D48	detector	33.138432511202055	187.75446391261988	62.98567869307038
