name	type	source	detector	wavelength_nominal	units
S01-D01-735.0	NIRSCWAMPLITUDE	S01	D01	735.0	dimensionless
S01-D01-850.0	NIRSCWAMPLITUDE	S01	D01	850.0	dimensionless
S01-D02-735.0	NIRSCWAMPLITUDE	S01	D02	735.0	dimensionless
S01-D02-850.0	NIRSCWAMPLITUDE	S01	D02	850.0	dimensionless
S01-D03-735.0	NIRSCWAMPLITUDE	S01	D03	735.0	dimensionless
S01-D03-850.0	NIRSCWAMPLITUDE	S01	D03	850.0	dimensionless
S01-D04-735.0	NIRSCWAMPLITUDE	S01	D04	735.0	dimensionless
S01-D04-850.0	NIRSCWAMPLITUDE	S01	D04	850.0	dimensionless
S01-D05-735.0	NIRSCWAMPLITUDE	S01	D05	735.0	dimensionless
S01-D05-850.0	NIRSCWAMPLITUDE	S01	D05	850.0	dimensionless
S01-D06-735.0	NIRSCWAMPLITUDE	S01	D06	735.0	dimensionless
S01-D06-850.0	NIRSCWAMPLITUDE	S01	D06	850.0	dimensionless
S01-D07-735.0	NIRSCWAMPLITUDE	S01	D07	735.0	dimensionless
S01-D07-850.0	NIRSCWAMPLITUDE	S01	D07	850.0	dimensionless
S01-D08-735.0	NIRSCWAMPLITUDE	S01	D08	735.0	dimensionless
S01-D08-850.0	NIRSCWAMPLITUDE	S01	D08	850.0	dimensionless
S01-D09-735.0	NIRSCWAMPLITUDE	S01	D09	735.0	dimensionless
S01-D09-850.0	NIRSCWAMPLITUDE	S01	D09	850.0	dimensionless
S01-D10-735.0	NIRSCWAMPLITUDE	S01	D10	735.0	dimensionless
S01-D10-850.0	NIRSCWAMPLITUDE	S01	D10	850.0	dimensionless
S01-D11-735.0	NIRSCWAMPLITUDE	S01	D11	735.0	dimensionless
S01-D11-850.0	NIRSCWAMPLITUDE	S01	D11	850.0	dimensionless
S01-D12-735.0	NIRSCWAMPLITUDE	S01	D12	735.0	dimensionless
S01-D12-850.0	NIRSCWAMPLITUDE	S01	D12	850.0	dimensionless
S01-D13-735.0	NIRSCWAMPLITUDE	S01	D13	735.0	dimensionless
S01-D13-850.0	NIRSCWAMPLITUDE	S01	D13	850.0	dimensionless
S01-D14-735.0	NIRSCWAMPLITUDE	S01	D14	735.0	dimensionless
S01-D14-850.0	NIRSCWAMPLITUDE	S01	D14	850.0	dimensionless
S01-D15-735.0	NIRSCWAMPLITUDE	S01	D15	735.0	dimensionless
S01-D15-850.0	NIRSCWAMPLITUDE	S01	D15	850.0	dimensionless
S01-D16-735.0	NIRSCWAMPLITUDE	S01	D16	735.0	dimensionless
S01-D16-850.0	NIRSCWAMPLITUDE	S01	D16	850.0	dimensionless
S01-D17-735.0	NIRSCWAMPLITUDE	S01	D17	735.0	dimensionless
S01-D17-850.0	NIRSCWAMPLITUDE	S01	D17	850.0	dimensionless
S01-D18-735.0	NIRSCWAMPLITUDE	S01	D18	735.0	dimensionless
S01-D18-850.0	NIRSCWAMPLITUDE	S01	D18	850.0	dimensionless
S01-D19-735.0	NIRSCWAMPLITUDE	S01	D19	735.0	dimensionless
S01-D19-850.0	NIRSCWAMPLITUDE	S01	D19	850.0	dimensionless
S01-D20-735.0	NIRSCWAMPLITUDE	S01	D20	735.0	dimensionless
S01-D20-850.0	NIRSCWAMPLITUDE	S01	D20	850.0	dimensionless
S01-D21-735.0	NIRSCWAMPLITUDE	S01	D21	735.0	dimensionless
S01-D21-850.0	NIRSCWAMPLITUDE	S01	D21	850.0	dimensionless
S01-D22-735.0	NIRSCWAMPLITUDE	S01	D22	735.0	dimensionless
S01-D22-850.0	NIRSCWAMPLITUDE	S01	D22	850.0	dimensionless
S01-D23-735.0	NIRSCWAMPLITUDE	S01	D23	735.0	dimensionless
S01-D23-850.0	NIRSCWAMPLITUDE	S01	D23	850.0	dimensionless
S01-D24-735.0	NIRSCWAMPLITUDE	S01	D24	735.0	dimensionless
S01-D24-850.0	NIRSCWAMPLITUDE	S01	D24	850.0	dimensionless
S01-D25-735.0	NIRSCWAMPLITUDE	S01	D25	735.0	dimensionless
S01-D25-850.0	NIRSCWAMPLITUDE	S01	D25	850.0	dimensionless
S01-D26-735.0	NIRSCWAMPLITUDE	S01	D26	735.0	dimensionless
S01-D26-850.0	NIRSCWAMPLITUDE	S01	D26	850.0	dimensionless
S01-D27-735.0	NIRSCWAMPLITUDE	S01	D27	735.0	dimensionless
S01-D27-850.0	NIRSCWAMPLITUDE	S01	D27	850.0	dimensionless
S01-D28-735.0	NIRSCWAMPLITUDE	S01	D28	735.0	dimensionless
S01-D28-850.0	NIRSCWAMPLITUDE	S01	D28	850.0	dimensionless
S01-D29-735.0	NIRSCWAMPLITUDE	S01	D29	735.0	dimensionless
S01-D29-850.0	NIRSCWAMPLITUDE	S01	D29	850.0	dimensionless
S01-D30-735.0	NIRSCWAMPLITUDE	S01	D30	735.0	dimensionless
S01-D30-850.0	NIRSCWAMPLITUDE	S01	D30	850.0	dimensionless
S01-D31-735.0	NIRSCWAMPLITUDE	S01	D31	735.0	dimensionless
S01-D31-850.0	NIRSCWAMPLITUDE	S01	D31	850.0	dimensionless
S01-D32-735.0	NIRSCWAMPLITUDE	S01	D32	735.0	dimensionless
S01-D32-850.0	NIRSCWAMPLITUDE	S01	D32	850.0	dimensionless
S01-D33-735.0	NIRSCWAMPLITUDE	S01	D33	735.0	dimensionless
S01-D33-850.0	NIRSCWAMPLITUDE	S01	D33	850.0	dimensionless
S01-D34-735.0	NIRSCWAMPLITUDE	S01	D34	735.0	dimensionless
S01-D34-850.0	NIRSCWAMPLITUDE	S01	D34	850.0	dimensionless
S01-D35-735.0	NIRSCWAMPLITUDE	S01	D35	735.0	dimensionless
S01-D35-850.0	NIRSCWAMPLITUDE	S01	D35	850.0	dimensionless
S01-D36-735.0	NIRSCWAMPLITUDE	S01	D36	735.0	dimensionless
S01-D36-850.0	NIRSCWAMPLITUDE	S01	D36	850.0	dimensionless
S01-D37-735.0	NIRSCWAMPLITUDE	S01	D37	735.0	dimensionless
S01-D37-850.0	NIRSCWAMPLITUDE	S01	D37	850.0	dimensionless
S01-D38-735.0	NIRSCWAMPLITUDE	S01	D38	735.0	dimensionless
S01-D38-850.0	NIRSCWAMPLITUDE	S01	D38	850.0	dimensionless
S01-D39-735.0	NIRSCWAMPLITUDE	S01	D39	735.0	dimensionless
S01-D39-850.0	NIRSCWAMPLITUDE	S01	D39	850.0	dimensionless
S01-D40-735.0	NIRSCWAMPLITUDE	S01	D40	735.0	dimensionless
S01-D40-850.0	NIRSCWAMPLITUDE	S01	D40	850.0	dimensionless
S01-D41-735.0	NIRSCWAMPLITUDE	S01	D41	735.0	dimensionless
S01-D41-850.0	NIRSCWAMPLITUDE	S01	D41	850.0	dimensionless
S01-D42-735.0	NIRSCWAMPLITUDE	S01	D42	735.0	dimensionless
S01-D42-850.0	NIRSCWAMPLITUDE	S01	D42	850.0	dimensionless
S01-D43-735.0	NIRSCWAMPLITUDE	S01	D43	735.0	dimensionless
S01-D43-850.0	NIRSCWAMPLITUDE	S01	D43	850.0	dimensionless
S01-D44-735.0	NIRSCWAMPLITUDE	S01	D44	735.0	dimensionless
S01-D44-850.0	NIRSCWAMPLITUDE	S01	D44	850.0	dimensionless
S01-D45-735.0	NIRSCWAMPLITUDE	S01	D45	735.0	dimensionless
S01-D45-850.0	NIRSCWAMPLITUDE	S01	D45	850.0	dimensionless
S01-D46-735.0	NIRSCWAMPLITUDE	S01	D46	735.0	dimensionless
S01-D46-850.0	NIRSCWAMPLITUDE	S01	D46	850.0	dimensionless
S01-D47-735.0	NIRSCWAMPLITUDE	S01	D47	735.0	dimensionless
S01-D47-850.0	NIRSCWAMPLITUDE	S01	D47	850.0	dimensionless
S01-D48-735.0	NIRSCWAMPLITUDE	S01	D48	735.0	dimensionless
S01-D48-850.0	NIRSCWAMPLITUDE	S01	D48	850.0	dimensionless
S02-D01-735.0	NIRSCWAMPLITUDE	S02	D01	735.0	dimensionless
S02-D01-850.0	NIRSCWAMPLITUDE	S02	D01	850.0	dimensionless
S02-D02-735.0	NIRSCWAMPLITUDE	S02	D02	735.0	dimensionless
S02-D02-850.0	NIRSCWAMPLITUDE	S02	D02	850.0	dimensionless
S02-D03-735.0	NIRSCWAMPLITUDE	S02	D03	735.0	dimensionless
S02-D03-850.0	NIRSCWAMPLITUDE	S02	D03	850.0	dimensionless
S02-D04-735.0	NIRSCWAMPLITUDE	S02	D04	735.0	dimensionless
S02-D04-850.0	NIRSCWAMPLITUDE	S02	D04	850.0	dimensionless
S02-D05-735.0	NIRSCWAMPLITUDE	S02	D05	735.0	dimensionless
S02-D05-850.0	NIRSCWAMPLITUDE	S02	D05	850.0	dimensionless
S02-D06-735.0	NIRSCWAMPLITUDE	S02	D06	735.0	dimensionless
S02-D06-850.0	NIRSCWAMPLITUDE	S02	D06	850.0	dimensionless
S02-D07-735.0	NIRSCWAMPLITUDE	S02	D07	735.0	dimensionless
S02-D07-850.0	NIRSCWAMPLITUDE	S02	D07	850.0	dimensionless
S02-D08-735.0	NIRSCWAMPLITUDE	S02	D08	735.0	dimensionless
S02-D08-850.0	NIRSCWAMPLITUDE	S02	D08	850.0	dimensionless
S02-D09-735.0	NIRSCWAMPLITUDE	S02	D09	735.0	dimensionless
S02-D09-850.0	NIRSCWAMPLITUDE	S02	D09	850.0	dimensionless
S02-D10-735.0	NIRSCWAMPLITUDE	S02	D10	735.0	dimensionless
S02-D10-850.0	NIRSCWAMPLITUDE	S02	D10	850.0	dimensionless
S02-D11-735.0	NIRSCWAMPLITUDE	S02	D11	735.0	dimensionless
S02-D11-850.0	NIRSCWAMPLITUDE	S02	D11	850.0	dimensionless
S02-D12-735.0	NIRSCWAMPLITUDE	S02	D12	735.0	dimensionless
S02-D12-850.0	NIRSCWAMPLITUDE	S02	D12	850.0	dimensionless
S02-D13-735.0	NIRSCWAMPLITUDE	S02	D13	735.0	dimensionless
S02-D13-850.0	NIRSCWAMPLITUDE	S02	D13	850.0	dimensionless
S02-D14-735.0	NIRSCWAMPLITUDE	S02	D14	735.0	dimensionless
S02-D14-850.0	NIRSCWAMPLITUDE	S02	D14	850.0	dimensionless
S02-D15-735.0	NIRSCWAMPLITUDE	S02	D15	735.0	dimensionless
S02-D15-850.0	NIRSCWAMPLITUDE	S02	D15	850.0	dimensionless
S02-D16-735.0	NIRSCWAMPLITUDE	S02	D16	735.0	dimensionless
S02-D16-850.0	NIRSCWAMPLITUDE	S02	D16	850.0	dimensionless
S02-D17-735.0	NIRSCWAMPLITUDE	S02	D17	735.0	dimensionless
S02-D17-850.0	NIRSCWAMPLITUDE	S02	D17	850.0	dimensionless
S02-D18-735.0	NIRSCWAMPLITUDE	S02	D18	735.0	dimensionless
S02-D18-850.0	NIRSCWAMPLITUDE	S02	D18	850.0	dimensionless
S02-D19-735.0	NIRSCWAMPLITUDE	S02	D19	735.0	dimensionless
S02-D19-850.0	NIRSCWAMPLITUDE	S02	D19	850.0	dimensionless
S02-D20-735.0	NIRSCWAMPLITUDE	S02	D20	735.0	dimensionless
S02-D20-850.0	NIRSCWAMPLITUDE	S02	D20	850.0	dimensionless
S02-D21-735.0	NIRSCWAMPLITUDE	S02	D21	735.0	dimensionless
S02-D21-850.0	NIRSCWAMPLITUDE	S02	D21	850.0	dimensionless
S02-D22-735.0	NIRSCWAMPLITUDE	S02	D22	735.0	dimensionless
S02-D22-850.0	NIRSCWAMPLITUDE	S02	D22	850.0	dimensionless
S02-D23-735.0	NIRSCWAMPLITUDE	S02	D23	735.0	dimensionless
S02-D23-850.0	NIRSCWAMPLITUDE	S02	D23	850.0	dimensionless
S02-D24-735.0	NIRSCWAMPLITUDE	S02	D24	735.0	dimensionless
S02-D24-850.0	NIRSCWAMPLITUDE	S02	D24	850.0	dimensionless
S02-D25-735.0	NIRSCWAMPLITUDE	S02	D25	735.0	dimensionless
S02-D25-850.0	NIRSCWAMPLITUDE	S02	D25	850.0	dimensionless
S02-D26-735.0	NIRSCWAMPLITUDE	S02	D26	735.0	dimensionless
S02-D26-850.0	NIRSCWAMPLITUDE	S02	D26	850.0	dimensionless
S02-D27-735.0	NIRSCWAMPLITUDE	S02	D27	735.0	dimensionless
S02-D27-850.0	NIRSCWAMPLITUDE	S02	D27	850.0	dimensionless
S02-D28-735.0	NIRSCWAMPLITUDE	S02	D28	735.0	dimensionless
S02-D28-850.0	NIRSCWAMPLITUDE	S02	D28	850.0	dimensionless
S02-D29-735.0	NIRSCWAMPLITUDE	S02	D29	735.0	dimensionless
