name	type	x	y	z
S01	source	-43.264733698240896	166.39620025721206	102.18909565523502
S02	source	-27.228049506985954	174.03997631794925	108.10227988061261
S03	source	-38.301928361245416	183.46528115864473	96.30816542546393
S04	source	-2.283776770712741	190.69705435597376	99.93128933507023
S05	source	-13.672672300750522	178.84440429116387	108.89655815686515
S06	source	4.849719075791276	176.1369487356635	109.2953088423823
S07	source	22.607051617632543	173.00244764173226	107.24305699340036
S08	source	39.183070616770834	164.79295581386882	104.34337803385158
S09	source	35.0440245746818	180.8550558801719	95.65743886059381
S10	source	62.575138258059646	173.85805426845684	73.47831871810678
S11	source	59.656330702941126	188.12321644963384	61.7074219637851
S12	source	46.327519525418374	183.1543011606527	73.88202558956586
S13	source	26.836467432988044	196.84542966035576	88.07791250835572
S14	source	18.728894378288896	209.88281671107399	77.36053885374795
S15	source	8.959790711551005	201.58026126483645	91.00606876689827
S16	source	-12.932581653330693	202.6217160140465	91.1006708665701
S17	source	-22.917710948257092	211.4800999764912	77.97076125006834
S18	source	-31.26401646682679	199.21442465195824	89.392700359687
S19	source	-47.05267790224721	194.22538775469263	82.76955244185314
S20	source	-56.04776809390168	197.80420054701014	66.74305090715923
S21	source	-60.04855097126584	182.31146068220605	76.4660673038182
S22	source	-72.15168353188322	180.7536735449016	46.20264271847249
S23	source	-62.910446152193984	194.85158252703502	54.35229265105956
S24	source	-65.94230374136927	195.08550520883335	35.877406460939184
S25	source	-38.67381393817502	217.33475087532508	45.89297367726178
S26	source	-48.89357804995407	209.92832660689726	59.72299902270622
S27	source	-31.96147599848282	217.03999893410133	63.3694132653619
S28	source	-10.232014498090843	222.2504469268377	64.56974888787589
S29	source	8.47020198696978	221.37652303994332	64.74766905492422
S30	source	-0.468331827192364	227.55666441607417	49.50048027062316
S31	source	35.964741988394024	216.83869602094418	43.591982460509826
S32	source	28.613991412875375	215.89851880166307	60.78648253387216
S33	source	44.75811363878091	207.19591962872377	57.01814268850534
S34	source	59.9621429171428	188.86151263369084	51.22170737068193
S35	source	66.5365811934605	172.66238641607427	44.518471500102976
S36	source	56.60480502546511	184.03417309291405	33.44550487298412
D01	detector	-30.514812365794064	181.4007069974256	102.2086787934864
D02	detector	-34.59156642615668	167.3791123253884	107.03963720610132
D03	detector	-36.26490385549076	174.63381924460202	102.19984698710385
D04	detector	-43.688332774521534	175.1216384109921	97.35122496172386
D05	detector	-4.867459156429046	174.66044752772785	111.05998767611607
D06	detector	-10.727352136720969	186.62101532683556	103.36780513911967
D07	detector	-3.702243331890662	181.8928024609337	106.04105211143923
D08	detector	4.488081297478031	184.39694452823773	103.69536351908195
D09	detector	40.22240196044268	172.7857643893192	98.4482528075084
D10	detector	30.005906136335614	166.33514818604965	107.96539332733468
D11	detector	32.27804893636173	172.88348644525766	102.41462462928192
D12	detector	26.60583871230688	179.5295467604041	100.83022775300267
D13	detector	50.93816836579969	188.1634549670295	66.57668539113901
D14	detector	64.28496340241897	180.52694503153467	66.2450556946953
D15	detector	56.186329495473046	181.71185729291446	69.68925542381925
D16	detector	53.33585671820047	176.4451718801792	76.24602518562344
D17	detector	11.060029625645413	207.63590099309909	83.34865902304816
D18	detector	25.745033259906368	203.74641860199932	80.94329106968482
D19	detector	18.17505084094265	202.76950254542206	85.48150670966731
D20	detector	17.720089637276168	196.92618804116773	92.15257003626897
D21	detector	-30.125093133282554	205.93136798139213	82.0917945289368
D22	detector	-15.066523184730723	208.73032702813993	83.49482673070571
D23	detector	-22.37143635613819	204.43874688083199	86.15471082544181
D24	detector	-21.922692750401296	198.6545456329639	92.87751121668292
D25	detector	-60.40457634821247	189.16469086364947	69.21181461928049
D26	detector	-49.72896553850984	198.9515245735182	74.38988566699096
D27	detector	-54.382998989138244	191.4470163279696	75.32622355094352
D28	detector	-53.01545508069242	186.2248335467411	82.37697036655912
D29	detector	-62.77078152505928	198.0149005976621	44.88172706203736
D30	detector	-67.87154864252125	186.2418510901955	53.3635122578649
D31	detector	-67.00147780848216	190.23025376025666	45.477447276823746
D32	detector	-70.36210325786597	186.43400959291236	38.18710251056898
D33	detector	-40.8033613118534	212.65895193705683	64.9008150137247
D34	detector	-46.3172892401112	212.9010793411333	50.54459081924467
D35	detector	-39.8429559955373	214.76769213877458	56.3284619884433
D36	detector	-32.408217434647305	218.74304513813354	53.53998013236053
D37	detector	7.051166333880625	224.94153113991558	55.528409048698435
D38	detector	-0.9693241487815851	220.58267718020977	67.90723470283389
D39	detector	-0.7433814461044758	223.7278781276184	59.60596607114108
D40	detector	-8.311986523412468	225.65942606272984	55.38225446189093
D41	detector	36.84063495676145	210.4132147810285	62.183434860563366
D42	detector	29.617217726841414	218.3343853973946	51.15435966864845
D43	detector	36.44561568001677	213.31104481711034	53.79886922762911
D44	detector	42.87899435644745	211.18553427290792	48.05881315367552
D45	detector	61.91541786544876	176.09521257871813	36.35892163305104
D46	detector	64.67334205398694	180.06068668807038	50.96138954975378
D47	detector	61.03450971202281	181.85269071422638	43.06189458125634
D48	detector	56.51476921663273	189.40217287589064	41.86537256096419
