name	type	x	y	z
S01	source	-41.145265059059966	177.59082924766773	91.16201872743208
S02	source	-24.8603380611489	184.68657284800048	97.07977805263654
S03	source	-34.50245978083304	193.36996461575785	83.58175982215401
S04	source	0.6509037844343757	201.41497000183756	86.04583703683873
S05	source	-8.457953007901512	189.34118323293572	97.08307858515177
S06	source	10.238497424705354	190.21249203207293	97.58493732784817
S07	source	25.78458122352759	181.60553967036626	97.70703051566227
S08	source	42.29008451683073	174.53175104974275	92.40625929012381
S09	source	35.95672113465509	190.34974377647796	84.6443062906353
S10	source	55.9988293013615	181.41020110920104	66.9413463511755
S11	source	55.237900283717586	193.4154476581629	52.59340774213667
S12	source	45.635053095249084	196.946746991556	68.27408218212489
S13	source	29.603080326346138	206.23522957402068	71.49185279771379
S14	source	22.30682405864034	215.014103027085	56.65054809189206
S15	source	11.462761031002263	210.8692569642573	71.34050548352782
S16	source	-9.829972724310913	211.16153606781037	71.88140726912326
S17	source	-18.50906694429082	216.76585374805444	56.26624646752996
S18	source	-28.118641151982885	207.84151938305374	69.6296532071502
S19	source	-43.19792659591862	198.85724618412038	68.44089983524681
S20	source	-51.04481915327804	197.44334349927274	51.49995959005859
S21	source	-54.90674017553506	184.73459040382235	64.69622651584974
S22	source	-67.15343268792084	175.9535586407661	30.91349765488998
S23	source	-58.22003097466592	192.16670891909425	33.72354959070208
S24	source	-61.0811091072334	185.95269682949518	16.294591341005663
S25	source	-35.294344805219055	212.43662178946343	22.770252420116663
S26	source	-45.00859637926263	207.5690302956557	38.01847098510327
S27	source	-28.92153189984292	216.9859937698452	39.77786160710084
S28	source	-7.328435896144189	220.5833148927083	41.813914099059076
S29	source	11.377999269383368	220.31591869140826	41.061529443816504
S30	source	1.3703477342283967	220.25117008708105	25.23714893874938
S31	source	37.75690734053214	212.50468509164094	24.223526105389208
S32	source	32.50324798767204	216.64401843161457	41.71161584968913
S33	source	48.05008327974946	206.64669816067786	38.72534730829276
S34	source	60.81915562265587	189.23125788190862	36.209747125655504
S35	source	68.34882675186013	172.6147270866046	31.995099214531677
S36	source	62.856685115427794	184.14707746340193	18.30533752806873
D01	detector	-27.224603680177538	191.4794005362353	90.1526256737272
D02	detector	-32.68141319642686	178.5174465983407	96.37951735539873
D03	detector	-33.50268763368064	185.2157889038087	90.60785220074088
D04	detector	-40.60204602443751	185.65051957685003	85.2914135730967
D05	detector	0.9415707143092428	187.2826957895544	99.75315035217206
D06	detector	-6.934269389817149	196.48510137433792	90.27422245354451
D07	detector	0.8104827337460726	193.65621508894873	93.57128431661289
D08	detector	8.424146876746125	197.20084810295387	90.68648014412211
D09	detector	41.9820155342041	182.61973889667715	86.5575631884457
D10	detector	33.62599310952212	175.43671091681853	97.28808965636794
D11	detector	34.6771289583378	182.16234483219566	91.5858653654738
D12	detector	28.42337823128718	188.4305846830913	90.91194325160772
D13	detector	49.24442147355508	198.13230696712975	59.03911561726921
D14	detector	57.75786575757713	185.36963097866425	57.944324296378305
D15	detector	52.29059422677606	190.59079858630665	62.602945425145684
D16	detector	49.86949544919597	188.27045781312594	70.82539636178953
D17	detector	14.159165036908949	214.37892422726136	62.38900610409827
D18	detector	29.060740924295963	210.5722486282511	62.51333211242124
D19	detector	21.12422180532958	210.70619652178766	66.4943021243779
D20	detector	20.15275945478383	207.16741670985053	74.58056815661418
D21	detector	-26.203554177664767	212.54845825717663	61.03344076700727
D22	detector	-11.180115173249678	215.27572450700447	62.88317028322566
D23	detector	-18.819226940194874	211.92296973297286	65.92576898126781
D24	detector	-19.07401146967017	207.94472643473748	73.8606958935705
D25	detector	-55.07124925509392	189.42416458749017	55.88154950879955
D26	detector	-45.45290840523322	201.02538413689317	58.957654881255245
D27	detector	-49.71649530824391	193.67839336240516	61.545695313718376
D28	detector	-48.62532826440457	190.58563136283215	69.79788155110033
D29	detector	-58.042648505443964	191.86845102178236	23.743706020469933
D30	detector	-63.03082920817333	183.65454287044892	35.75257633196788
D31	detector	-62.15152425660672	184.69098812978518	26.977212862199238
D32	detector	-65.38109505620287	178.54997049712426	21.435356234159908
D33	detector	-37.32311222384569	212.24341358041755	42.354503065701145
D34	detector	-42.558133370907676	208.50627915064976	28.383405047160956
D35	detector	-36.408157694774864	212.33054861832144	33.522195004106926
D36	detector	-29.343227489571227	216.24195312389702	29.828676899458678
D37	detector	9.310748750518588	220.2193012502045	31.29245372692759
D38	detector	2.165031947770339	220.4921454568622	44.90962991782029
D39	detector	1.8066370358225257	220.3834678903992	36.03753082720832
D40	detector	-6.05586959082135	220.43895696413088	31.91050883687708
D41	detector	40.81666933823098	211.46119791289956	43.6463243338948
D42	detector	32.36122046309224	216.27330928634566	31.733634946125743
D43	detector	39.43674620265121	211.93180056131112	34.88682975445703
D44	detector	45.132348806630404	208.06089448468813	29.280529983350558
D45	detector	66.62791850414557	176.05558708943457	22.78007576128573
D46	detector	64.95416624736346	180.23204611962325	37.48786088862806
D47	detector	64.00822249664793	181.99768747730505	28.836727956085305
D48	detector	60.442582738434766	189.70542922285733	26.242247218342122
