onset	duration	trial_type	value
1014.56	0.0	L	1.0
1138.24	0.0	Z	1.0
1140.32	0.0	G	1.0
1442.32	0.0	H	1.0
264.8	0.0	Z	1.0
277.04	0.0	J	1.0
297.36	0.0	J	1.0
317.84	0.0	J	1.0
338.08	0.0	J	1.0
358.32	0.0	J	1.0
378.64	0.0	J	1.0
398.88	0.0	J	1.0
419.2	0.0	J	1.0
439.36	0.0	J	1.0
459.6	0.0	J	1.0
479.84	0.0	J	1.0
500.16	0.0	J	1.0
520.48	0.0	J	1.0
540.8	0.0	J	1.0
561.12	0.0	J	1.0
581.52	0.0	J	1.0
628.96	0.0	L	1.0
649.28	0.0	L	1.0
669.52	0.0	L	1.0
689.92	0.0	L	1.0
710.24	0.0	L	1.0
730.48	0.0	L	1.0
750.8	0.0	L	1.0
771.12	0.0	L	1.0
791.36	0.0	L	1.0
811.68	0.0	L	1.0
832.0	0.0	L	1.0
852.24	0.0	L	1.0
872.48	0.0	L	1.0
892.8	0.0	L	1.0
913.04	0.0	L	1.0
933.36	0.0	L	1.0
953.68	0.0	L	1.0
974.0	0.0	L	1.0
994.4	0.0	L	1.0
